	HashTable	LinkList
number_values	time	time
200	0.001	0.005
2000	0.001	0.023
3800	0.002	0.027
5600	0.002	0.035
7400	0.001	0.044
9200	0.001	0.052
11000	0.002	0.062
12800	0.002	0.077
14600	0.001	0.079
16400	0.001	0.093
18200	0	0.108
20000	0.001	0.123
21800	0.001	0.141
23600	0	0.164
25400	0.001	0.167
27200	0.001	0.185
29000	0.001	0.208
30800	0	0.215
32600	0	0.24
34400	0.001	0.251
36200	0.001	0.264
38000	0.001	0.272
39800	0.001	0.294
41600	0.001	0.314
43400	0	0.315
45200	0.001	0.336
47000	0.001	0.364
48800	0.001	0.4
50600	0.001	0.379
52400	0.001	0.397
54200	0.001	0.405
56000	0.001	0.426
57800	0	0.433
59600	0.001	0.457
61400	0.001	0.484
63200	0.001	0.491
65000	0.001	0.499
66800	0.001	0.52
68600	0.001	0.536
70400	0.001	0.539
72200	0.001	0.557
74000	0.001	0.582
75800	0.001	0.597
77600	0.001	0.587
79400	0.001	0.626
81200	0.001	0.632
83000	0.001	0.655
84800	0.001	0.648
86600	0.001	0.663
88400	0.001	0.693
90200	0.001	0.7
92000	0.001	0.724
93800	0.001	0.736
95600	0.001	0.751
97400	0.001	0.757
99200	0.001	0.76
101000	0.001	0.777
102800	0.001	0.804
104600	0.001	0.821
106400	0.001	0.829
108200	0.002	0.839
110000	0.001	0.855
111800	0.001	0.867
113600	0.001	0.888
115400	0.001	0.912
117200	0.001	0.905
119000	0.001	0.926
120800	0.001	0.942
122600	0.002	0.97
124400	0.001	0.981
126200	0.001	1.006
128000	0.001	1.003
129800	0.001	1.036
131600	0.001	1.058
133400	0.001	1.051
135200	0.002	1.097
137000	0.001	1.124
138800	0.002	1.122
140600	0.001	1.139
142400	0.001	1.159
144200	0.001	1.143
146000	0.001	1.187
147800	0	1.195
149600	0.001	1.19
151400	0.001	1.198
153200	0.001	1.246
155000	0.001	1.223
156800	0	1.265
158600	0.001	1.28
160400	0.001	1.304
162200	0.001	1.357
164000	0.001	1.343
165800	0.001	1.391
167600	0.001	1.463
169400	0.001	1.401
171200	0	1.412
173000	0	1.431
174800	0.001	1.485
176600	0.001	1.47
178400	0.001	1.488
180200	0.001	1.445
182000	0.001	1.466
183800	0	1.512
185600	0.002	1.529
187400	0.001	1.534
189200	0.001	1.529
191000	0.001	1.541
192800	0.001	1.593
194600	0.001	1.654
196400	0	1.659
198200	0	1.666
200000	0.001	1.735
