LinkList
 time, number_values
0.002 200
0.001 2000
0.001 3800
0.001 5600
0.0 7400
0.001 9200
0.0 11000
0.001 12800
0.001 14600
0.001 16400
0.001 18200
0.0 20000
0.001 21800
0.001 23600
0.0 25400
0.001 27200
0.001 29000
0.0 30800
0.001 32600
0.0 34400
0.001 36200
0.001 38000
0.0 39800
0.001 41600
0.0 43400
0.001 45200
0.0 47000
0.001 48800
0.001 50600
0.001 52400
0.001 54200
0.0 56000
0.0 57800
0.0 59600
0.0 61400
0.001 63200
0.001 65000
0.0 66800
0.0 68600
0.001 70400
0.001 72200
0.0 74000
0.001 75800
0.0 77600
0.001 79400
0.0 81200
0.0 83000
0.0 84800
0.001 86600
0.001 88400
0.0 90200
0.0 92000
0.0 93800
0.0 95600
0.001 97400
0.0 99200
0.0 101000
0.0 102800
0.0 104600
0.0 106400
0.0 108200
0.001 110000
0.001 111800
0.0 113600
0.0 115400
0.0 117200
0.001 119000
0.001 120800
0.001 122600
0.001 124400
0.0 126200
0.001 128000
0.001 129800
0.0 131600
0.0 133400
0.0 135200
0.0 137000
0.0 138800
0.001 140600
0.0 142400
0.0 144200
0.0 146000
0.0 147800
0.001 149600
0.0 151400
0.0 153200
0.0 155000
0.0 156800
0.0 158600
0.0 160400
0.0 162200
0.0 164000
0.001 165800
0.001 167600
0.0 169400
0.0 171200
0.001 173000
0.001 174800
0.001 176600
0.0 178400
0.0 180200
0.001 182000
0.001 183800
0.001 185600
0.001 187400
0.0 189200
0.001 191000
0.001 192800
0.001 194600
0.0 196400
0.0 198200
0.001 200000
